Station,date,Flow_cfs_md,wet_within_72
J03-9368-1 (J03TBN1),2022-02-09,0,FALSE
J03-9368-1 (J03TBN1),2022-02-10,0,FALSE
J03-9368-1 (J03TBN1),2022-02-11,0,FALSE
J03-9368-1 (J03TBN1),2022-02-12,0,FALSE
J03-9368-1 (J03TBN1),2022-02-13,0,FALSE
J03-9368-1 (J03TBN1),2022-02-14,0,FALSE
J03-9368-1 (J03TBN1),2022-02-15,0.002,FALSE
J03-9368-1 (J03TBN1),2022-02-16,0,FALSE
J03-9368-1 (J03TBN1),2022-02-17,0,FALSE
J03-9368-1 (J03TBN1),2022-02-18,0,FALSE
J03-9368-1 (J03TBN1),2022-02-19,0,FALSE
J03-9368-1 (J03TBN1),2022-02-20,0,FALSE
J03-9368-1 (J03TBN1),2022-02-21,0,FALSE
J03-9368-1 (J03TBN1),2022-02-22,0,FALSE
J03-9368-1 (J03TBN1),2022-02-23,0.007,FALSE
J03-9368-1 (J03TBN1),2022-02-28,0,FALSE
J03-9368-1 (J03TBN1),2022-03-01,0,FALSE
J03-9368-1 (J03TBN1),2022-03-02,0.145,FALSE
J03-9368-1 (J03TBN1),2022-03-03,0.006,FALSE
J03-9368-1 (J03TBN1),2022-03-04,0,FALSE
J03-9368-1 (J03TBN1),2022-03-05,0,FALSE
J03-9368-1 (J03TBN1),2022-03-06,0,FALSE
J03-9368-1 (J03TBN1),2022-03-07,0,FALSE
J03-9368-1 (J03TBN1),2022-03-08,0,FALSE
J03-9368-1 (J03TBN1),2022-03-09,0,FALSE
J03-9368-1 (J03TBN1),2022-03-10,0,FALSE
J03-9368-1 (J03TBN1),2022-03-11,0,FALSE
J03-9368-1 (J03TBN1),2022-03-12,0,FALSE
J03-9368-1 (J03TBN1),2022-03-13,0,FALSE
J03-9368-1 (J03TBN1),2022-03-14,0,FALSE
J03-9368-1 (J03TBN1),2022-03-15,0,FALSE
J03-9368-1 (J03TBN1),2022-03-16,0,FALSE
J03-9368-1 (J03TBN1),2022-03-17,0,FALSE
J03-9368-1 (J03TBN1),2022-03-18,0,FALSE
J03-9368-1 (J03TBN1),2022-03-19,0.003,FALSE
J03-9368-1 (J03TBN1),2022-03-20,0,FALSE
J03-9368-1 (J03TBN1),2022-03-21,0,FALSE
J03-9368-1 (J03TBN1),2022-03-22,0,FALSE
J03-9368-1 (J03TBN1),2022-03-23,0,FALSE
J03-9368-1 (J03TBN1),2022-03-24,0,FALSE
J03-9368-1 (J03TBN1),2022-03-25,0,FALSE
J03-9368-1 (J03TBN1),2022-03-26,0,FALSE
J03-9368-1 (J03TBN1),2022-03-27,0,FALSE
J03-9368-1 (J03TBN1),2022-03-28,5.27,FALSE
J03-9368-1 (J03TBN1),2022-04-02,0,FALSE
J03-9368-1 (J03TBN1),2022-04-03,0,FALSE
J03-9368-1 (J03TBN1),2022-04-04,0,FALSE
J03-9368-1 (J03TBN1),2022-04-05,0,FALSE
J03-9368-1 (J03TBN1),2022-04-06,0,FALSE
J03-9368-1 (J03TBN1),2022-04-07,0,FALSE
J03-9368-1 (J03TBN1),2022-04-08,0,FALSE
J03-9368-1 (J03TBN1),2022-04-09,0,FALSE
J03-9368-1 (J03TBN1),2022-04-10,0,FALSE
J03-9368-1 (J03TBN1),2022-04-11,0,FALSE
J03-9368-1 (J03TBN1),2022-04-12,0,FALSE
J03-9368-1 (J03TBN1),2022-04-13,0,FALSE
J03-9368-1 (J03TBN1),2022-04-14,0,FALSE
J03-9368-1 (J03TBN1),2022-04-15,0,FALSE
J03-9368-1 (J03TBN1),2022-04-16,0,FALSE
J03-9368-1 (J03TBN1),2022-04-17,0,FALSE
J03-9368-1 (J03TBN1),2022-04-18,0,FALSE
J03-9368-1 (J03TBN1),2022-04-19,0,FALSE
J03-9368-1 (J03TBN1),2022-04-20,0,FALSE
J03-9368-1 (J03TBN1),2022-04-21,0,FALSE
J03-9368-1 (J03TBN1),2022-04-22,0.025,FALSE
J03-9368-1 (J03TBN1),2022-04-23,0,FALSE
J03-9368-1 (J03TBN1),2022-04-24,0,FALSE
J03-9368-1 (J03TBN1),2022-04-25,0,FALSE
J03-9368-1 (J03TBN1),2022-04-26,0,FALSE
J03-9368-1 (J03TBN1),2022-04-27,0,FALSE
J03-9368-1 (J03TBN1),2022-04-28,0,FALSE
J03-9368-1 (J03TBN1),2022-04-29,0,FALSE
J03-9368-1 (J03TBN1),2022-04-30,0,FALSE
J03-9368-1 (J03TBN1),2022-05-01,0,FALSE
J03-9368-1 (J03TBN1),2022-05-02,0,FALSE
J03-9368-1 (J03TBN1),2022-05-03,0,FALSE
J03-9368-1 (J03TBN1),2022-05-04,0,FALSE
J03-9368-1 (J03TBN1),2022-05-05,0,FALSE
J03-9368-1 (J03TBN1),2022-05-06,0,FALSE
J03-9368-1 (J03TBN1),2022-05-07,0,FALSE
J03-9368-1 (J03TBN1),2022-05-08,0,FALSE
J03-9368-1 (J03TBN1),2022-05-09,0,FALSE
J03-9368-1 (J03TBN1),2022-05-10,0,FALSE
J03-9368-1 (J03TBN1),2022-05-11,0,FALSE
J03-9368-1 (J03TBN1),2022-05-12,0,FALSE
J03-9368-1 (J03TBN1),2022-05-13,0,FALSE
J03-9368-1 (J03TBN1),2022-05-14,0,FALSE
J03-9368-1 (J03TBN1),2022-05-15,0,FALSE
J03-9368-1 (J03TBN1),2022-05-16,0,FALSE
J03-9368-1 (J03TBN1),2022-05-17,0,FALSE
J03-9368-1 (J03TBN1),2022-05-18,0,FALSE
J03-9368-1 (J03TBN1),2022-05-19,0,FALSE
J03-9368-1 (J03TBN1),2022-05-20,0.001,FALSE
J03-9368-1 (J03TBN1),2022-05-21,0,FALSE
J03-9368-1 (J03TBN1),2022-05-22,0,FALSE
J03-9368-1 (J03TBN1),2022-05-23,0,FALSE
J03-9368-1 (J03TBN1),2022-05-24,0,FALSE
J03-9368-1 (J03TBN1),2022-05-25,0,FALSE
J03-9368-1 (J03TBN1),2022-05-26,0,FALSE
J03-9368-1 (J03TBN1),2022-05-27,0,FALSE
J03-9368-1 (J03TBN1),2022-05-28,0,FALSE
J03-9368-1 (J03TBN1),2022-05-29,0,FALSE
J03-9368-1 (J03TBN1),2022-05-30,0,FALSE
J03-9368-1 (J03TBN1),2022-05-31,0,FALSE
J03-9368-1 (J03TBN1),2022-06-01,0,FALSE
J03-9368-1 (J03TBN1),2022-06-02,0,FALSE
J03-9368-1 (J03TBN1),2022-06-03,0,FALSE
J03-9368-1 (J03TBN1),2022-06-04,0,FALSE
J03-9368-1 (J03TBN1),2022-06-05,0,FALSE
J03-9368-1 (J03TBN1),2022-06-06,0,FALSE
J03-9368-1 (J03TBN1),2022-06-07,0,FALSE
J03-9368-1 (J03TBN1),2022-06-08,0,FALSE
J03-9368-1 (J03TBN1),2022-06-09,0,FALSE
J03-9368-1 (J03TBN1),2022-06-10,0,FALSE
J03-9368-1 (J03TBN1),2022-06-11,0,FALSE
J03-9368-1 (J03TBN1),2022-06-12,0,FALSE
J03-9368-1 (J03TBN1),2022-06-13,0,FALSE
J03-9368-1 (J03TBN1),2022-06-14,0,FALSE
J03-9368-1 (J03TBN1),2022-06-15,0,FALSE
J03-9368-1 (J03TBN1),2022-06-16,0,FALSE
J03-9368-1 (J03TBN1),2022-06-17,0,FALSE
J03-9368-1 (J03TBN1),2022-06-18,0,FALSE
J03-9368-1 (J03TBN1),2022-06-19,0,FALSE
J03-9368-1 (J03TBN1),2022-06-20,0,FALSE
J03-9368-1 (J03TBN1),2022-06-21,0,FALSE
J03-9368-1 (J03TBN1),2022-06-22,0,FALSE
J03-9368-1 (J03TBN1),2022-06-23,0,FALSE
J03-9368-1 (J03TBN1),2022-06-24,0,FALSE
J03-9368-1 (J03TBN1),2022-06-25,0,FALSE
J03-9368-1 (J03TBN1),2022-06-26,0,FALSE
J03-9368-1 (J03TBN1),2022-06-27,0,FALSE
J03-9368-1 (J03TBN1),2022-06-28,0,FALSE
J03-9368-1 (J03TBN1),2022-06-29,0,FALSE
J03-9368-1 (J03TBN1),2022-06-30,0,FALSE
J03-9368-1 (J03TBN1),2022-07-01,0,FALSE
J03-9368-1 (J03TBN1),2022-07-02,0,FALSE
J03-9368-1 (J03TBN1),2022-07-03,0,FALSE
J03-9368-1 (J03TBN1),2022-07-04,0,FALSE
J03-9368-1 (J03TBN1),2022-07-05,0,FALSE
J03-9368-1 (J03TBN1),2022-07-06,0,FALSE
J03-9368-1 (J03TBN1),2022-07-07,0,FALSE
J03-9368-1 (J03TBN1),2022-07-08,0,FALSE
J03-9368-1 (J03TBN1),2022-07-09,0,FALSE
J03-9368-1 (J03TBN1),2022-07-10,0,FALSE
J03-9368-1 (J03TBN1),2022-07-11,0,FALSE
J03-9368-1 (J03TBN1),2022-07-12,0,FALSE
J03-9368-1 (J03TBN1),2022-07-13,0,FALSE
J03-9368-1 (J03TBN1),2022-07-14,0,FALSE
J03-9368-1 (J03TBN1),2022-07-15,0,FALSE
J03-9368-1 (J03TBN1),2022-07-16,0,FALSE
J03-9368-1 (J03TBN1),2022-07-17,0,FALSE
J03-9368-1 (J03TBN1),2022-07-18,0,FALSE
J03-9368-1 (J03TBN1),2022-07-19,0,FALSE
J03-9368-1 (J03TBN1),2022-07-20,0,FALSE
J03-9368-1 (J03TBN1),2022-07-21,0,FALSE
J03-9368-1 (J03TBN1),2022-07-22,0,FALSE
J03-9368-1 (J03TBN1),2022-07-23,0,FALSE
J03-9368-1 (J03TBN1),2022-07-24,0,FALSE
J03-9368-1 (J03TBN1),2022-07-25,0,FALSE
J03-9368-1 (J03TBN1),2022-07-26,0,FALSE
J03-9368-1 (J03TBN1),2022-07-27,0,FALSE
J03-9368-1 (J03TBN1),2022-07-28,0,FALSE
J03-9368-1 (J03TBN1),2022-07-29,0,FALSE
J03-9368-1 (J03TBN1),2022-07-30,0,FALSE
J03-9368-1 (J03TBN1),2022-07-31,0,FALSE
J03-9368-1 (J03TBN1),2022-08-01,0,FALSE
J03-9368-1 (J03TBN1),2022-08-02,0,FALSE
J03-9368-1 (J03TBN1),2022-08-03,0,FALSE
J03-9368-1 (J03TBN1),2022-08-04,0,FALSE
J03-9368-1 (J03TBN1),2022-08-05,0,FALSE
J03-9368-1 (J03TBN1),2022-08-06,0,FALSE
J03-9368-1 (J03TBN1),2022-08-07,0,FALSE
J03-9368-1 (J03TBN1),2022-08-08,0,FALSE
J03-9368-1 (J03TBN1),2022-08-09,0,FALSE
J03-9368-1 (J03TBN1),2022-08-10,0,FALSE
J03-9368-1 (J03TBN1),2022-08-11,0,FALSE
J03-9368-1 (J03TBN1),2022-08-12,0,FALSE
J03-9368-1 (J03TBN1),2022-08-13,0,FALSE
J03-9368-1 (J03TBN1),2022-08-14,0,FALSE
J03-9368-1 (J03TBN1),2022-08-15,0,FALSE
J03-9368-1 (J03TBN1),2022-08-16,0,FALSE
J03-9368-1 (J03TBN1),2022-08-17,0,FALSE
J03-9368-1 (J03TBN1),2022-08-18,0,FALSE
J03-9368-1 (J03TBN1),2022-08-19,0,FALSE
J03-9368-1 (J03TBN1),2022-08-20,0,FALSE
J03-9368-1 (J03TBN1),2022-08-21,0,FALSE
J03-9368-1 (J03TBN1),2022-08-22,0,FALSE
J03-9368-1 (J03TBN1),2022-08-23,0,FALSE
J03-9368-1 (J03TBN1),2022-08-24,0,FALSE
J03-9368-1 (J03TBN1),2022-08-25,0,FALSE
J03-9368-1 (J03TBN1),2022-08-26,0,FALSE
J03-9368-1 (J03TBN1),2022-08-27,0,FALSE
J03-9368-1 (J03TBN1),2022-08-28,0,FALSE
J03-9368-1 (J03TBN1),2022-08-29,0.024,FALSE
J03-9368-1 (J03TBN1),2022-08-30,0,FALSE
J03-9368-1 (J03TBN1),2022-08-31,0,FALSE
J03-9368-1 (J03TBN1),2022-09-01,0,FALSE
J03-9368-1 (J03TBN1),2022-09-02,0,FALSE
J03-9368-1 (J03TBN1),2022-09-03,0,FALSE
J03-9368-1 (J03TBN1),2022-09-04,0,FALSE
J03-9368-1 (J03TBN1),2022-09-05,0,FALSE
J03-9368-1 (J03TBN1),2022-09-06,0,FALSE
J03-9368-1 (J03TBN1),2022-09-07,0,FALSE
J03-9368-1 (J03TBN1),2022-09-08,0,FALSE
J03-9368-1 (J03TBN1),2022-09-09,0.021,FALSE
J03-9368-1 (J03TBN1),2022-09-14,0,FALSE
J03-9368-1 (J03TBN1),2022-09-15,0,FALSE
J03-9368-1 (J03TBN1),2022-09-16,0,FALSE
J03-9368-1 (J03TBN1),2022-09-17,0,FALSE
J03-9368-1 (J03TBN1),2022-09-18,0,FALSE
J03-9368-1 (J03TBN1),2022-09-19,0,FALSE
J03-9368-1 (J03TBN1),2022-09-20,0,FALSE
J03-9368-1 (J03TBN1),2022-09-21,0,FALSE
J03-9368-1 (J03TBN1),2022-09-22,0,FALSE
J03-9368-1 (J03TBN1),2022-09-23,0,FALSE
J03-9368-1 (J03TBN1),2022-09-24,0,FALSE
J03-9368-1 (J03TBN1),2022-09-25,0,FALSE
J03-9368-1 (J03TBN1),2022-09-26,0,FALSE
J03-9368-1 (J03TBN1),2022-09-27,0,FALSE
J03-9368-1 (J03TBN1),2022-09-28,0,FALSE
J03-9368-1 (J03TBN1),2022-09-29,0,FALSE
J03-9368-1 (J03TBN1),2022-09-30,0,FALSE
J03-9368-1 (J03TBN1),2022-10-01,0,FALSE
J06-10011-1 (J06P01),2021-10-01,2.4,FALSE
J06-10011-1 (J06P01),2021-10-02,0.001,FALSE
J06-10011-1 (J06P01),2021-10-03,2.08,FALSE
J06-10011-1 (J06P01),2021-10-04,3.48,FALSE
J06-10011-1 (J06P01),2021-10-13,0,FALSE
J06-10011-1 (J06P01),2021-10-14,0,FALSE
J06-10011-1 (J06P01),2021-10-15,0.03,FALSE
J06-10011-1 (J06P01),2021-10-16,0,FALSE
J06-10011-1 (J06P01),2021-10-17,0,FALSE
J06-10011-1 (J06P01),2021-10-18,0,FALSE
J06-10011-1 (J06P01),2021-10-19,0,FALSE
J06-10011-1 (J06P01),2021-10-20,0,FALSE
J06-10011-1 (J06P01),2021-10-21,0,FALSE
J06-10011-1 (J06P01),2021-10-22,0,FALSE
J06-10011-1 (J06P01),2021-10-23,0.004,FALSE
J06-10011-1 (J06P01),2021-10-24,0,FALSE
J06-10011-1 (J06P01),2021-10-25,1.28,FALSE
J06-10011-1 (J06P01),2021-10-30,0,FALSE
J06-10011-1 (J06P01),2021-10-31,0,FALSE
J06-10011-1 (J06P01),2021-11-01,0,FALSE
J06-10011-1 (J06P01),2021-11-02,0,FALSE
J06-10011-1 (J06P01),2021-11-03,0,FALSE
J06-10011-1 (J06P01),2021-11-04,0.002,FALSE
J06-10011-1 (J06P01),2021-11-07,0,FALSE
J06-10011-1 (J06P01),2021-11-08,0,FALSE
J06-10011-1 (J06P01),2021-11-09,0,FALSE
J06-10011-1 (J06P01),2021-11-10,0,FALSE
J06-10011-1 (J06P01),2021-11-11,0,FALSE
J06-10011-1 (J06P01),2021-11-12,0,FALSE
J06-10011-1 (J06P01),2021-11-13,0,FALSE
J06-10011-1 (J06P01),2021-11-14,0,FALSE
J06-10011-1 (J06P01),2021-11-15,0,FALSE
J06-10011-1 (J06P01),2021-11-16,0,FALSE
J06-10011-1 (J06P01),2021-11-17,0,FALSE
J06-10011-1 (J06P01),2021-11-18,0,FALSE
J06-10011-1 (J06P01),2021-11-19,0,FALSE
J06-10011-1 (J06P01),2021-11-20,0,FALSE
J06-10011-1 (J06P01),2021-11-21,0,FALSE
J06-10011-1 (J06P01),2021-11-22,0,FALSE
J06-10011-1 (J06P01),2021-11-23,0,FALSE
J06-10011-1 (J06P01),2021-11-24,0.005,FALSE
J06-10011-1 (J06P01),2021-11-25,0.002,FALSE
J06-10011-1 (J06P01),2021-11-26,0,FALSE
J06-10011-1 (J06P01),2021-11-27,0,FALSE
J06-10011-1 (J06P01),2021-11-28,0,FALSE
J06-10011-1 (J06P01),2021-11-29,0,FALSE
J06-10011-1 (J06P01),2021-11-30,0,FALSE
J06-10011-1 (J06P01),2021-12-01,0,FALSE
J06-10011-1 (J06P01),2021-12-02,0.033,FALSE
J06-10011-1 (J06P01),2021-12-03,0,FALSE
J06-10011-1 (J06P01),2021-12-04,0,FALSE
J06-10011-1 (J06P01),2021-12-05,0,FALSE
J06-10011-1 (J06P01),2021-12-06,0,FALSE
J06-10011-1 (J06P01),2021-12-07,0.001,FALSE
J06-10011-1 (J06P01),2021-12-08,0,FALSE
J06-10011-1 (J06P01),2021-12-19,0.002,FALSE
J06-10011-1 (J06P01),2021-12-20,0,FALSE
J06-10011-1 (J06P01),2021-12-21,0,FALSE
J06-10011-1 (J06P01),2021-12-22,0,FALSE
J06-10011-1 (J06P01),2021-12-23,2.8,FALSE
J06-10011-1 (J06P01),2022-01-04,0,FALSE
J06-10011-1 (J06P01),2022-01-05,0.001,FALSE
J06-10011-1 (J06P01),2022-01-06,0.001,FALSE
J06-10011-1 (J06P01),2022-01-07,0.001,FALSE
J06-10011-1 (J06P01),2022-01-08,0.002,FALSE
J06-10011-1 (J06P01),2022-01-09,0,FALSE
J06-10011-1 (J06P01),2022-01-10,0.002,FALSE
J06-10011-1 (J06P01),2022-01-11,0,FALSE
J06-10011-1 (J06P01),2022-01-12,0,FALSE
J06-10011-1 (J06P01),2022-01-13,0.001,FALSE
J06-10011-1 (J06P01),2022-01-14,0.001,FALSE
J06-10011-1 (J06P01),2022-01-15,0.006,FALSE
J06-10011-1 (J06P01),2022-01-17,0.001,FALSE
J06-10011-1 (J06P01),2022-01-18,0.001,FALSE
J06-10011-1 (J06P01),2022-01-19,0.001,FALSE
J06-10011-1 (J06P01),2022-01-20,0,FALSE
J06-10011-1 (J06P01),2022-01-21,0.001,FALSE
J06-10011-1 (J06P01),2022-01-22,0.002,FALSE
J06-10011-1 (J06P01),2022-01-23,0.001,FALSE
J06-10011-1 (J06P01),2022-01-24,0.001,FALSE
J06-10011-1 (J06P01),2022-01-25,0.001,FALSE
J06-10011-1 (J06P01),2022-01-26,0.001,FALSE
J06-10011-1 (J06P01),2022-01-27,0.001,FALSE
J06-10011-1 (J06P01),2022-01-28,0.001,FALSE
J06-10011-1 (J06P01),2022-01-29,0.001,FALSE
J06-10011-1 (J06P01),2022-01-30,0.001,FALSE
J06-10011-1 (J06P01),2022-01-31,0.001,FALSE
J06-10011-1 (J06P01),2022-02-01,0.003,FALSE
J06-10011-1 (J06P01),2022-02-02,0.001,FALSE
J06-10011-1 (J06P01),2022-02-03,0.003,FALSE
J06-10011-1 (J06P01),2022-02-04,0.004,FALSE
J06-10011-1 (J06P01),2022-02-05,0.002,FALSE
J06-10011-1 (J06P01),2022-02-06,0.002,FALSE
J06-10011-1 (J06P01),2022-02-07,0.002,FALSE
J06-10011-1 (J06P01),2022-02-08,0.004,FALSE
J06-10011-1 (J06P01),2022-02-09,0.004,FALSE
J06-10011-1 (J06P01),2022-02-10,0.005,FALSE
J06-10011-1 (J06P01),2022-02-11,0.002,FALSE
J06-10011-1 (J06P01),2022-02-12,0.001,FALSE
J06-10011-1 (J06P01),2022-02-13,0.001,FALSE
J06-10011-1 (J06P01),2022-02-14,0.001,FALSE
J06-10011-1 (J06P01),2022-02-15,0.045,FALSE
J06-10011-1 (J06P01),2022-02-20,0,FALSE
J06-10011-1 (J06P01),2022-02-21,0,FALSE
J06-10011-1 (J06P01),2022-02-22,0.275,FALSE
J06-10011-1 (J06P01),2022-02-28,0,FALSE
J06-10011-1 (J06P01),2022-03-01,0.001,FALSE
J06-10011-1 (J06P01),2022-03-02,0,FALSE
J06-10011-1 (J06P01),2022-03-03,0,FALSE
J06-10011-1 (J06P01),2022-03-04,0.001,FALSE
J06-10011-1 (J06P01),2022-03-05,0,FALSE
J06-10011-1 (J06P01),2022-03-06,0,FALSE
J06-10011-1 (J06P01),2022-03-07,0,FALSE
J06-10011-1 (J06P01),2022-03-08,0,FALSE
J06-10011-1 (J06P01),2022-03-09,0.001,FALSE
J06-10011-1 (J06P01),2022-03-10,0,FALSE
J06-10011-1 (J06P01),2022-03-11,0,FALSE
J06-10011-1 (J06P01),2022-03-12,0,FALSE
J06-10011-1 (J06P01),2022-03-13,0,FALSE
J06-10011-1 (J06P01),2022-03-14,0,FALSE
J06-10011-1 (J06P01),2022-03-15,0.001,FALSE
J06-10011-1 (J06P01),2022-03-16,0,FALSE
J06-10011-1 (J06P01),2022-03-17,0,FALSE
J06-10011-1 (J06P01),2022-03-18,0,FALSE
J06-10011-1 (J06P01),2022-03-19,0.354,FALSE
J06-10011-1 (J06P01),2022-03-24,0.001,FALSE
J06-10011-1 (J06P01),2022-03-25,0.001,FALSE
J06-10011-1 (J06P01),2022-03-26,0,FALSE
J06-10011-1 (J06P01),2022-03-27,0,FALSE
J06-10011-1 (J06P01),2022-03-28,3.97,FALSE
J06-10011-1 (J06P01),2022-04-02,0,FALSE
J06-10011-1 (J06P01),2022-04-03,0.001,FALSE
J06-10011-1 (J06P01),2022-04-04,0,FALSE
J06-10011-1 (J06P01),2022-04-05,0.001,FALSE
J06-10011-1 (J06P01),2022-04-06,0.001,FALSE
J06-10011-1 (J06P01),2022-04-07,0.005,FALSE
J06-10011-1 (J06P01),2022-04-08,0.004,FALSE
J06-10011-1 (J06P01),2022-04-09,0.001,FALSE
J06-10011-1 (J06P01),2022-04-10,0.001,FALSE
J06-10011-1 (J06P01),2022-04-11,0.002,FALSE
J06-10011-1 (J06P01),2022-04-12,0.001,FALSE
J06-10011-1 (J06P01),2022-04-13,0,FALSE
J06-10011-1 (J06P01),2022-04-14,0.001,FALSE
J06-10011-1 (J06P01),2022-04-15,0.009,FALSE
J06-10011-1 (J06P01),2022-04-16,0,FALSE
J06-10011-1 (J06P01),2022-04-17,0,FALSE
J06-10011-1 (J06P01),2022-04-18,0,FALSE
J06-10011-1 (J06P01),2022-04-19,0.002,FALSE
J06-10011-1 (J06P01),2022-04-20,0.001,FALSE
J06-10011-1 (J06P01),2022-04-21,0.007,FALSE
J06-10011-1 (J06P01),2022-04-22,0.662,FALSE
J06-10011-1 (J06P01),2022-04-27,0,FALSE
J06-10011-1 (J06P01),2022-04-28,0,FALSE
J06-10011-1 (J06P01),2022-04-29,0.003,FALSE
J06-10011-1 (J06P01),2022-04-30,0.001,FALSE
J06-10011-1 (J06P01),2022-05-01,0,FALSE
J06-10011-1 (J06P01),2022-05-02,0.002,FALSE
J06-10011-1 (J06P01),2022-05-03,0.006,FALSE
J06-10011-1 (J06P01),2022-05-04,0.011,FALSE
J06-10011-1 (J06P01),2022-05-05,0.002,FALSE
J06-10011-1 (J06P01),2022-05-06,0.002,FALSE
J06-10011-1 (J06P01),2022-05-07,0.001,FALSE
J06-10011-1 (J06P01),2022-05-08,0.004,FALSE
J06-10011-1 (J06P01),2022-05-09,0.001,FALSE
J06-10011-1 (J06P01),2022-05-10,0.001,FALSE
J06-10011-1 (J06P01),2022-05-11,0,FALSE
J06-10011-1 (J06P01),2022-05-12,0.002,FALSE
J06-10011-1 (J06P01),2022-05-13,0.001,FALSE
J06-10011-1 (J06P01),2022-05-14,0.002,FALSE
J06-10011-1 (J06P01),2022-05-15,0.006,FALSE
J06-10011-1 (J06P01),2022-05-16,0,FALSE
J06-10011-1 (J06P01),2022-05-17,0,FALSE
J06-10011-1 (J06P01),2022-05-18,0.003,FALSE
J06-10011-1 (J06P01),2022-05-19,0.003,FALSE
J06-10011-1 (J06P01),2022-05-20,0.001,FALSE
J06-10011-1 (J06P01),2022-05-21,0,FALSE
J06-10011-1 (J06P01),2022-05-22,0.002,FALSE
J06-10011-1 (J06P01),2022-05-23,0,FALSE
J06-10011-1 (J06P01),2022-05-24,0.002,FALSE
J06-10011-1 (J06P01),2022-05-25,0.002,FALSE
J06-10011-1 (J06P01),2022-05-26,0.003,FALSE
J06-10011-1 (J06P01),2022-05-27,0.002,FALSE
J06-10011-1 (J06P01),2022-05-28,0.001,FALSE
J06-10011-1 (J06P01),2022-05-29,0,FALSE
J06-10011-1 (J06P01),2022-05-30,0.001,FALSE
J06-10011-1 (J06P01),2022-05-31,0,FALSE
J06-10011-1 (J06P01),2022-06-01,0,FALSE
J06-10011-1 (J06P01),2022-06-02,0,FALSE
J06-10011-1 (J06P01),2022-06-03,0,FALSE
J06-10011-1 (J06P01),2022-06-04,0.002,FALSE
J06-10011-1 (J06P01),2022-06-05,0.005,FALSE
J06-10011-1 (J06P01),2022-06-06,0.001,FALSE
J06-10011-1 (J06P01),2022-06-07,0,FALSE
J06-10011-1 (J06P01),2022-06-08,0,FALSE
J06-10011-1 (J06P01),2022-06-09,0,FALSE
J06-10011-1 (J06P01),2022-06-10,0.001,FALSE
J06-10011-1 (J06P01),2022-06-11,0.001,FALSE
J06-10011-1 (J06P01),2022-06-12,0,FALSE
J06-10011-1 (J06P01),2022-06-13,0.001,FALSE
J06-10011-1 (J06P01),2022-06-14,0.003,FALSE
J06-10011-1 (J06P01),2022-06-15,0.002,FALSE
J06-10011-1 (J06P01),2022-06-16,0.001,FALSE
J06-10011-1 (J06P01),2022-06-17,0.001,FALSE
J06-10011-1 (J06P01),2022-06-18,0,FALSE
J06-10011-1 (J06P01),2022-06-19,0.002,FALSE
J06-10011-1 (J06P01),2022-06-20,0,FALSE
J06-10011-1 (J06P01),2022-06-21,0.001,FALSE
J06-10011-1 (J06P01),2022-06-22,0.006,FALSE
J06-10011-1 (J06P01),2022-06-23,0,FALSE
J06-10011-1 (J06P01),2022-06-24,0,FALSE
J06-10011-1 (J06P01),2022-06-25,0,FALSE
J06-10011-1 (J06P01),2022-06-26,0.001,FALSE
J06-10011-1 (J06P01),2022-06-27,0.002,FALSE
J06-10011-1 (J06P01),2022-06-28,0.001,FALSE
J06-10011-1 (J06P01),2022-06-29,0.004,FALSE
J06-10011-1 (J06P01),2022-06-30,0,FALSE
J06-10011-1 (J06P01),2022-07-01,0.001,FALSE
J06-10011-1 (J06P01),2022-07-02,0.003,FALSE
J06-10011-1 (J06P01),2022-07-03,0.006,FALSE
J06-10011-1 (J06P01),2022-07-04,0.001,FALSE
J06-10011-1 (J06P01),2022-07-05,0,FALSE
J06-10011-1 (J06P01),2022-07-06,0,FALSE
J06-10011-1 (J06P01),2022-07-07,0,FALSE
J06-10011-1 (J06P01),2022-07-08,0,FALSE
J06-10011-1 (J06P01),2022-07-09,0.005,FALSE
J06-10011-1 (J06P01),2022-07-10,0.002,FALSE
J06-10011-1 (J06P01),2022-07-11,0,FALSE
J06-10011-1 (J06P01),2022-07-12,0.003,FALSE
J06-10011-1 (J06P01),2022-07-13,0.002,FALSE
J06-10011-1 (J06P01),2022-07-14,0.005,FALSE
J06-10011-1 (J06P01),2022-07-15,0.001,FALSE
J06-10011-1 (J06P01),2022-07-16,0.004,FALSE
J06-10011-1 (J06P01),2022-07-17,0.005,FALSE
J06-10011-1 (J06P01),2022-07-18,0,FALSE
J06-10011-1 (J06P01),2022-07-19,0.006,FALSE
J06-10011-1 (J06P01),2022-07-20,0.001,FALSE
J06-10011-1 (J06P01),2022-07-21,0.001,FALSE
J06-10011-1 (J06P01),2022-07-22,0,FALSE
J06-10011-1 (J06P01),2022-07-23,0,FALSE
J06-10011-1 (J06P01),2022-07-24,0,FALSE
J06-10011-1 (J06P01),2022-07-25,0,FALSE
J06-10011-1 (J06P01),2022-07-26,0.001,FALSE
J06-10011-1 (J06P01),2022-07-27,0.008,FALSE
J06-10011-1 (J06P01),2022-07-28,0.001,FALSE
J06-10011-1 (J06P01),2022-07-29,0,FALSE
J06-10011-1 (J06P01),2022-07-30,0,FALSE
J06-10011-1 (J06P01),2022-07-31,0.004,FALSE
J06-10011-1 (J06P01),2022-08-01,0.002,FALSE
J06-10011-1 (J06P01),2022-08-02,0,FALSE
